Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2023,FYTD,DEC,U.S. Border Patrol,UAC,Guatemala,Title 8,Apprehensions,4801
2023,FYTD,DEC,U.S. Border Patrol,UAC,Honduras,Title 8,Apprehensions,2597
2023,FYTD,DEC,U.S. Border Patrol,UAC,Mexico,Title 42,Expulsions,1
2023,FYTD,DEC,U.S. Border Patrol,UAC,Mexico,Title 8,Apprehensions,1581
2023,FYTD,DEC,U.S. Border Patrol,UAC,Other,Title 8,Apprehensions,1965
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,1
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,2
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,4
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,144
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,24
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,32
2023,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,7
2023,FYTD,FEB,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,70
2023,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,52
2023,FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,248
2023,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,913
2023,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,6658
2023,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,5
2023,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,136
2023,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,20
2023,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,100
2023,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,9
2023,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,550
2023,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1495
2023,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3007
2023,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,124
2023,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,12089
2023,FYTD,FEB,Office of Field Operations,UAC,El Salvador,Title 8,Inadmissibles,5
2023,FYTD,FEB,Office of Field Operations,UAC,Guatemala,Title 8,Inadmissibles,29
2023,FYTD,FEB,Office of Field Operations,UAC,Honduras,Title 8,Inadmissibles,26
